"siteid","age","LAT","LON","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
8,611.9,33.956389,-119.976667,8.73999980464578,9.56999978609383,9.93999977782369,10.3999997675419,11.499999742955,12.9499997105449,14.8099996689707,15.1199996620417,14.8299996685237,12.5199997201562,10.3499997686595,9.19999979436398
8,1066.2,33.956389,-119.976667,9.03999979794025,10.0199997760355,10.5199997648597,10.919999755919,11.7099997382611,12.6699997168034,14.1399996839464,14.4899996761233,14.5799996741116,12.619999717921,10.5799997635186,9.44999978877604
8,1263.8,33.956389,-119.976667,8.6099998075515,9.66999978385866,10.339999768883,10.9399997554719,11.9499997328967,13.0599997080863,14.5399996750057,14.629999672994,14.3299996796995,12.1099997293204,10.0099997762591,8.92999980039895
8,1522,33.956389,-119.976667,8.72999980486929,9.60999978519976,10.069999774918,10.5999997630715,11.6999997384846,13.1099997069687,14.939999666065,15.2699996586889,15.0399996638298,12.6999997161329,10.4399997666478,9.21999979391694
8,1792.1,33.956389,-119.976667,9.02999979816377,9.96999977715313,10.5399997644126,11.0299997534603,11.8799997344613,12.8699997123331,14.4599996767938,14.9999996647239,15.2899996582419,13.2499997038394,10.9499997552484,9.57999978587031
8,2109.5,33.956389,-119.976667,8.94999979995191,9.89999977871776,10.3299997691065,10.879999756813,12.1199997290969,13.7299996931106,15.6199996508658,15.6499996501952,14.9799996651709,12.4799997210503,10.31999976933,9.28999979235232
8,2397.6,33.956389,-119.976667,8.93999980017543,9.94999977760017,10.5899997632951,11.1799997501075,12.1399997286499,13.21999970451,14.8199996687472,15.2399996593595,15.3199996575713,13.1299997065216,10.7999997586012,9.44999978877604
8,2679.7,33.956389,-119.976667,8.61999980732799,9.43999978899956,9.77999978139997,10.1799997724593,11.1499997507781,12.4499997217208,14.1699996832758,14.4999996758997,14.3199996799231,12.1999997273088,10.1499997731298,9.05999979749322
8,2949.5,33.956389,-119.976667,9.25999979302287,10.1199997738004,10.4899997655302,10.899999756366,11.8999997340143,13.21999970451,15.0599996633828,15.479999653995,15.4099996555597,13.1899997051805,10.9699997548014,9.759999781847
8,3217.5,33.956389,-119.976667,8.93999980017543,9.91999977827072,10.5099997650832,10.9699997548014,11.7199997380376,12.5799997188151,14.0299996864051,14.5199996754527,14.8499996680766,12.929999710992,10.7399997599423,9.43999978899956
